class,method,path,request_fields
AppVersionApi,c,app/version/getNewVersion,"type,versionName"
AtsEleStatApi,c,device/stat/symmetry,"beginDate,dateType,deviceSn,endDate,negative,positive"
BannerApi,c,app/banner/list,
BatteryPackApi,c,device/battery/pack/list,deviceSn
BoxEleStatApi,c,device/stat,"beginDate,dateType,deviceSn,endDate,key"
BoxPowerOutageStatApi,c,device/stat/cutoff,"beginDate,deviceSn,endDate"
CancelAccountApi,c,auth/cancel,"email,verificationCode"
CheckVerificationCodeApi,c,auth/check_verification,"code,email,method,phone"
CurrencyListApi,c,device/currencies/currencyList,
CurrencySettingsApi,c,device/currencies/bindCurrency,"currency,deviceId,systemId"
DeviceBindApi,a,device/bind,"bindKey,devId,guid,timezoneOffset"
DeviceBleOTALinkQuiryApi,a,device/ota/bluetooth,"deviceSn,subDeviceSn,targetFirmwareIds,targetVersionId"
DeviceBleOTASelectApi,c,device/ota/version/list,list
DeviceChargeReportApi,b,device/chargeReport,"deviceSn,pageIndex"
DeviceDetailApi,a,device/property,deviceId
DeviceMqttOTASelectApi,a,device/ota/list,deviceSnList
DeviceMqttOTAStartApi,a,device/ota/update,"deviceSn,subDeviceSn,targetFirmwareIds,targetVersionId"
DeviceNickNameApi,a,device/bind/nickname,"deviceId,nickname"
DeviceShareBindApi,a,device/accept_bind,"devId,qrCodeId"
DeviceSharedListApi,c,device/bind/shared,
DeviceSharedManagerListApi,a,device/bind/share/list,"bindUserId,level"
DeviceSharedRemoveAllApi,c,device/bind/removeAll,"bindUserId,level"
DeviceSharedRemoveApi,a,device/bind/remove,"bindUserId,deviceId"
DeviceStatSocApi,b,device/stat/soc,deviceId
DeviceUnBindApi,a,device/unbind,deviceId
FeedBackApi,c,api/file/feedback,"contactInfo,content,deviceSn,image"
GetVerificationCodeApi,a,auth/verificationCode,"email,method,phone"
HelpQuestionAnswerApi,c,api/faq/answer,
HelpQuestionApi,c,api/faqList,
JWTApi,c,auth/generatedJwt,
LoginApi,a,auth/login,"aesEncryptData,rsaForAesKey"
LoginOutApi,c,auth/loginOut,
MsgApi,c,api/push/notifyList,"currentTime,deviceSn,pageNo,pageSize"
PowerReportApi,c,device/property/power3,"deviceSn,properties"
PrivacyConsentApi,c,api/agreeUpgrade,pendingAgreeVersionIds
PrivacyNeedUpdateApi,c,api/isUpgradeRequired,
ProductInstructionApi,c,api/instruction,"devSn,type"
PushSwitchConfigApi,a,api/push/configSet,set
PushSwitchStatusApi,c,api/push/configGet,
QrCodeApi,c,device/bind/qrcode,
RegisterAccountApi,c,auth/register,"email,password,regionCode,registerAppId,verificationCode"
ResetPasswordApi,c,auth/modifyPassword,"confirmPassword,email,password,verificationCode"
SaveTouPlanApi,c,device/tou/saveTouPlan,"deviceId,tasks"
SocialContributionsApi,a,device/stat/carbon,deviceSn
StatProfitApi,c,device/stat/profit,deviceId
StormAddressApi,b,device/location,deviceId
StormUpdateAddressApi,b,device/location,"deviceId,latitude,longitude"
TodayEnergyApi,a,device/stat/today,deviceSn
UnreadMsgApi,c,api/push/unreadCount,
UpdateRegisterIdJgApi,b,auth/updateRegisterId,registerId
UpdateUserInfoApi,a,auth/modifyInfo,nickName
UserDeviceListApi,c,device/bind/list,
UserHeadImgApi,a,auth/headimg,image
UserInfoApi,c,user/info,
home.AlarmDetailsApi,b,api/alarm/detail,alarmKey
home.AlarmListApi,b,api/alarm,systemId
home.CountryZoneListApi,c,api/diy/zoneList,
home.DeviceAccessoriesApi,c,device/accessories,"devices,id,parentDeviceId"
home.DeviceAccessoriesExistApi,c,device/accessories/exist,devices
home.DeviceAccessoriesListApi,b,device/accessories/list,deviceId
home.DeviceAccessoriesNameApi,c,device/accessories/name,"deviceName,id"
home.DeviceBluetoothApi,c,device/bluetoothKey,"deviceSn,guid"
home.DeviceJackeryAccessoriesExistApi,c,device/accessories/exists,deviceSnInfos
home.DiyDeviceSystemApi,c,device/system,"bindKey,countryCode,deviceSn,gridStandard,guid,id,systemName,timezone"
home.DiyDeviceSystemNameApi,c,device/system/name,"id,systemName"
home.DiyPropertySubShadowApi,c,device/property/subShadow,"devType,deviceSn,subDeviceSn"
home.DiyPropertySystemShadowApi,c,device/property/systemShadow,"deviceSn,diySn"
home.ModifyDevicePvNameApi,b,device/property/pv,"deviceSn,index,name"
home.ModifyDiyDeviceNameApi,c,device/system/deviceName,"deviceName,id"
home.ParallelInStandardListApi,b,api/diy/gcsList,country
home.RecordDeviceMaxPowerApi,c,device/deviceMaxPowerRecord/saveRecord,"deviceId,maxPower"
home.SyncFaultsAndAlarmsDataApi,c,device/alert,"content,id"
home.SyncOfflineStatisticsDataApi,c,device/offline/stat,
home.SynchronizeSmartAccessoriesDataApi,c,device/accessories/synchronizeSmartAccessoriesData,
home.SystemBindExistApi,a,device/system/exist,"bindKey,deviceSn,guid"
home.UserSystemListApi,c,device/system/list,
home.ai.AiSmartConditionApi,c,device/smartMode/checkIfSet,"deviceId,systemId"
home.ai.AiSmartModeInfoApi,b,device/smartMode/getSmartMode,systemId
home.ai.AiSmartModeStartApi,b,device/smartMode/startSmartMode,systemId
home.ai.AiSmartScheduleApi,b,device/stat/getSmartSchedulePrediction,systemId
home.eleprice.DynamicPriceLoginUrlApi,c,device/dynamic/loginUrl,"platformCompanyId,systemId"
home.eleprice.EleDeviceCurrencyApi,b,device/currencies/deviceCurrency,deviceId
home.eleprice.ElePriceAuthContractApi,c,device/dynamic/saveContractAuth,"contractId,customId,platformCompanyId,systemId"
home.eleprice.ElePriceAuthContractListApi,b,device/dynamic/contractList,"customerNumber,platformCompanyId"
home.eleprice.ElePriceCancelAuthApi,c,device/dynamic/cancelContractAuth,"platformCompanyId,systemId"
home.eleprice.ElePriceDynamicApi,b,device/dynamic/dynamicPrice,systemId
home.eleprice.ElePriceHistoryConfigApi,b,device/dynamic/historyConfig,systemId
home.eleprice.ElePriceSettingsApi,b,device/dynamic/powerPriceConfig,systemId
home.eleprice.ElePriceSourceApi,c,device/dynamic/saveDynamicMode,"platformCompanyId,systemId,systemRegion"
home.eleprice.ElePriceSourceListApi,b,device/dynamic/priceCompany,systemId
home.eleprice.EleSingleModeApi,c,device/dynamic/saveSingleMode,"currency,singlePrice,systemId"
home.eleprice.FlatpeakAuthApi,b,device/dynamic/saveLocationId,connectToken
home.statistic.AccMeterStatApi,b,device/stat/meter,deviceId
home.statistic.AccSocketStatApi,c,device/stat/socket,"beginDate,dateType,deviceId,endDate"
home.statistic.BatteryStatApi,c,device/stat/battery,"beginDate,dateType,deviceId,endDate"
home.statistic.CtStatApi,c,device/stat/ct,"beginDate,dateType,deviceId,endDate"
home.statistic.DeviceStatDeviceStatistic,b,device/stat/deviceStatistic,deviceId
home.statistic.DeviceStatSocketStatistic,b,device/stat/smartSocketStatistic,smartSocketId
home.statistic.DeviceStatSystemStatistic,b,device/stat/systemStatistic,systemId
home.statistic.EpsStatApi,c,device/stat/eps,"beginDate,dateType,deviceId,endDate"
home.statistic.HomeStatApi,c,device/stat/onGrid,"beginDate,dateType,deviceId,endDate"
home.statistic.PvStatApi,c,device/stat/pv,"beginDate,dateType,deviceId,endDate,systemId"
home.statistic.SysBatteryStatApi,c,device/stat/sys/battery/trends,"beginDate,dateType,endDate,systemId"
home.statistic.SysHomeStatApi,c,device/stat/sys/home/trends,"beginDate,dateType,endDate,systemId"
home.statistic.SysPvStatApi,c,device/stat/sys/pv/trends,"beginDate,dateType,endDate,systemId"
shelly.ShellyAuthUrlApi,c,wss-cloud/device/shelly/auth-url,
shelly.ShellyBindingFailuresApi,b,device/shelly/binding/failures,state
shelly.ShellyDeviceControlApi,c,wss-cloud/device/shelly/device/control,"action,deviceId,function"
shelly.ShellyDevicesApi,c,device/shelly/devices,
shelly.ShellyRealDataApi,b,wss-cloud/device/shelly/device/realtime-power,deviceId
shelly.ShellyUnbindAccountApi,c,wss-cloud/device/shelly/unbind/account,
shelly.ShellyUnbindDeviceApi,c,wss-cloud/device/shelly/unbind/device,"bindingId,deviceId"
